,i,Fabr_Modelo,Descripcion,Kilometraje,Precio_caro,Precio_desc
0,1,Nissan QASHQAI,1.5 dCi N-CONNECTA,2016 | 138026km | 110CV | Manual,17.390€,15.590€
1,3,Peugeot 308,5p Allure 2.0 BlueHDi 110KW (150CV),2017 | 95352km | 150CV | Manual,17.990€,13.390€
2,5,Renault Captur,Intens Energy dCi 66kW (90CV) eco2,2018 | 51634km | 90CV | Manual,16.990€,13.590€
3,7,Citroën C3,BlueHDi 55KW (75CV) S&S LIVE,2017 | 122399km | 75CV | Manual,11.690€,8.990€
4,9,Audi A4,2.0 TDI clean d 150CV S line edition,2016 | 120792km | 150CV | Manual,19.890€,17.990€
5,11,Hyundai TUCSON,1.7 CRDi 85kW (115CV) BD Klass Nav 4x2,2017 | 48346km | 115CV | Manual,20.790€,16.490€
6,15,Citroën Grand C4 Picasso,BlueHDi 110KW (150CV) EAT6 Shine,2016 | 71012km | 150CV | Automático,20.290€,16.190€
7,17,Peugeot 2008,Style 1.6 BlueHDi 73KW (100CV),2017 | 59525km | 100CV | Manual,15.990€,11.990€
8,19,Renault Captur,S-Edition Energy TCe 110kW(150CV) EDC,2018 | 67369km | 150CV | Automático,18.190€,13.590€
9,21,BMW Serie 3,316d,2017 | 60602km | 116CV | Automático,22.590€,18.090€
10,23,BMW X1,sDrive16d Business,2017 | 70840km | 116CV | Manual,22.290€,17.890€
11,25,Mercedes Clase GLA,GLA 200 d,2019 | 37548km | 136CV | Automático,33.490€,29.590€
12,29,Renault Scénic,Intens Energy dCi 81kW (110CV),2017 | 127864km | 110CV | Manual,14.290€,11.190€
13,31,Renault Grand Scénic,Limited TCe 103kW (140CV) GPF,2019 | 73547km | 140CV | Manual,20.490€,15.490€
14,33,Peugeot 3008,GT Line BlueHDi 132kW (180CV) S&S EAT8,2018 | 88248km | 180CV | Automático,29.490€,23.890€
15,35,Audi A5,Cabrio 2.0 TDI clean diesel 190CV,2015 | 113542km | 190CV | Automático,25.990€,23.790€
16,37,Renault Grand Scénic,BOSE Energy dCi 110 eco2 7p Euro 6,2016 | 113527km | 110CV | Manual,15.990€,12.590€
17,39,Volvo V40,2.0 D2 Auto,2018 | 33040km | 120CV | Automático,21.990€,17.590€
18,41,Land Rover Discovery 4,3.0 SDV6 HSE 255cv,2015 | 130560km | 256CV | Automático,37.190€,34.490€
19,43,BMW Serie 1,118i,2021 | 13085km | 136CV | Automático,33.490€,29.590€
20,47,Audi A5,Sportback 2.0 TDI clean d 110kW Advanced,2016 | 83343km | 150CV | Manual,24.290€,22.190€
21,49,Opel Astra,1.4T SHT 107kW (145CV) Business Eleg CVT,2020 | 27706km | 145CV | Automático,24.290€,19.590€
22,51,Jeep Renegade,1.6 E-TORQ 81kW Sport FWD E6,2018 | 24860km | 110CV | Manual,17.490€,13.890€
23,53,Renault Grand Scénic,Zen Energy TCe 103 kW (140CV),2018 | 87792km | 140CV | Manual,19.690€,15.690€
24,55,Citroën C5 Aircross,PureTech 96kW (130CV) S&S Shine,2019 | 44521km | 131CV | Manual,27.190€,21.990€
25,57,Volkswagen Polo,Edition 1.4 TDI 55kW(75CV) BMT,2017 | 125012km | 75CV | Manual,10.990€,8.390€
